harmful effects	有害|VHC 影響|Na 
harmful interference	產生|VHC 有害|VHC 干擾|Na 
harmful substances	有害|VHC 物質|Na 
harmful bacteria	有害|VHC 細菌|Na 
harmful chemicals	有害|VHC 化學|Na 物質|Na 
harmful side	有害|VHC 的|DE 一|Neu 面|Nf 
harmful components	有害|VHC 成分|Na 
harmful consequences	有害|VHC 的|DE 後果|Na 
harmful emissions	有害|VHC 排放物|Na 
harmful rays	有害|VHC 射線|Na 
harmful organisms	有害|VHC 生物|Na 
harmful materials	有害|VHC 物質|Na 
harmful tax	有害|VHC 的|DE 稅收|Na 
harmful compounds	有害|VHC 化合物|Na 
harmful substance	有害|VHC 物質|Na 
harmful drugs	有害|VHC 的|DE 藥物|Na 
harmful practices	有害|VHC 的|DE 做法|Na 
harmful radiation	有害|VHC 輻射|Na 
harmful pollutants	有|V_2 害|Na 污染物|Na 
harmful ingredients	有害|VHC 成分|Na 
harmful drug	有害|VHC 的|DE 藥物|Na 
harmful component	有害|VHC 成分|Na 
harmful products	有害|VHC 的|DE 產品|Na 
harmful gases	有害|VHC 氣體|Na 
harmful toxins	有害|VHC 的|DE 毒素|Na 
harmful insects	有害|VHC 昆蟲|Na 
harmful traditional practices	有害|VHC 的|DE 傳統|Na 習俗|Na 
harmful physical effects	有害|VHC 的|DE 物理|Na 效應|Na 
harmful goods	有害|VHC 物品|Na 
harmful things	有害|VHC 的|DE 東西|Na 
harmful actions	有害|VHC 的|DE 行動|Na 
harmful viruses	有害|VHC 的|DE 病毒|Na 
harmful code	有害|VHC 代碼|Na 
harmful free radicals	有害|VHC 自由基|Na 
harmful agents	有害|VHC 物質|Na 
harmful ultraviolet rays	有害|VHC 的|DE 紫外線|Na 
harmful pesticides	有害|VHC 的|DE 殺蟲劑|Na 
harmful algae	有害|VHC 藻類|Na 
harmful tax competition	有害|VHC 的|DE 稅收|Na 競爭|Na 
harmful particles	有害|VHC 微粒|Na 
harmful acts	有害|VHC 的|DE 行為|Na 
harmful concentration	有害|VHC 濃度|Na 
harmful interactions	有害|VHC 的|DE 相互|A 作用|Na 
harmful influences	有害|VHC 影響|Na 
